orden,linea,entrega,fecha_ingreso_inventario,fecha_aproximada_necesidad,dia_semana_aproximado,mes_aproximado,año_aproximado,fecha_entrega_real,nit_proveedor,CreationDate_proveedor,cantidad,pais,forma_envio,unidad_de_medida/U,terminos_de_pago,categoria_,STATUS_08,cumplio,dias_diferencia_entrega
77725582,11,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,280.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,16,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,250.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,22,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,500.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,30,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,20.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725109,01,01,2024-11-05,2024-09-16,Monday,September,2024,2024-09-19,91210282MA10KJX,2024-08-06 12:35:51.380,105.0,CHINA,MARITIMO,OZ,GIRO ANTICIPADO,REPRESENTACIONES,activo,0,3
77725582,06,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,250.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,"MATERIAL ELÉCTRICO PARA LUMINARIAS (PRENSAESTOPAS, BORNERAS, CONECTORES, FUSIBLES, FILTROS, ENTRE OTROS)",activo,1,0
77725582,07,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,450.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,07,02,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,50.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,10,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,810.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,23,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,200.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,"MATERIAL ELÉCTRICO PARA LUMINARIAS (PRENSAESTOPAS, BORNERAS, CONECTORES, FUSIBLES, FILTROS, ENTRE OTROS)",activo,1,0
77725582,27,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,200.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,18,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,698.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,19,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,2500.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,21,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,500.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,25,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,70.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,29,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,50.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,02,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,800.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,02,02,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,170.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,13,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,800.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,28,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,40.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,35,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,40.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,05,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,1000.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,05,02,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,200.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,12,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,700.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,14,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,480.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
